id|marca|nombre|precio|precio_1|precio_2|precio_3|precio_unitario|rubro|url_imagen|url_producto
""|LIRA|Aceite Lira De Maiz x 900ml|439.0|||||Almacén > Aceites y Vinagres > Aceites Comunes|657204-512-512|aceite-lira-de-maiz-x900ml/p
""|CLOVELLY|Aceite Clovelly Mezcla x 900cc|109.73|||||Almacén > Aceites y Vinagres > Aceites Comunes|609041-512-512|aceite-clovelly-mezcla-x900cc/p
""|LIRA|Aceite Olivado Lira x 900ml|352.0|||||Almacén > Aceites y Vinagres > Aceites Comunes|614828-512-512|aceite-olivado-lira-x900-ml/p
""|NATURA|Aceite De Girasol Natura 126ml|205.0|||||Almacén > Aceites y Vinagres > Aceites Comunes|204046-512-512|aceite-natura-de-girasol-4/p
""|GOD BLESS YOU|Aceite De Coco Neutro God Bless You 225ml|755.0|||||Almacén > Aceites y Vinagres > Aceites Comunes|543365-512-512|aceite-de-coco-neutro-god-bless-you-225-ml/p
""|LIRA|Aerosol Aceite Girasol Clásico Lira 120gr|249.0|||||Almacén > Aceites y Vinagres > Aceites Comunes|649682-512-512|aerosol-aceite-girasol-clasico-lira-120g/p
""|CUISINE & CO NBE MP|Aceite De Canola Cuisine & Co 500ml|334.0|||||Almacén > Aceites y Vinagres > Aceites Comunes|602287-512-512|aceite-de-canola-cuisine-co-500-ml/p
""|IDEAL|Aceite De Girasol Ideal x 1,5lt|204.05|||||Almacén > Aceites y Vinagres > Aceites Comunes|614804-512-512|aceite-de-girasol-ideal-x1-5-lt/p
""|GOD BLESS YOU|Aceite De Coco Virgen|1.065|||||Almacén > Aceites y Vinagres > Aceites Comunes|543366-512-512|aceite-de-coco-virgen-2/p
""|PRIMOR|Aceite De Girasol Primor 900ml|116.59|||||Almacén > Aceites y Vinagres > Aceites Comunes|423577-512-512|aceite-de-girasol-primor-x-900-ml/p
""|SOJOLA|Aceite De Soja Sojola 900ml|121.6|||||Almacén > Aceites y Vinagres > Aceites Comunes|210279-512-512|aceite-de-soja-sojola-x-900-cc/p
""|LIRA|Aerosol Lira Manteca x 120gr|236.0|||||Almacén > Aceites y Vinagres > Aceites Comunes|663637-512-512|aerosol-lira-manteca-x120g/p
""|FAMILIAR|Aceite Familiar Mezcla Pet x 900cc|113.79|||||Almacén > Aceites y Vinagres > Aceites Comunes|598724-512-512|aceite-familiar-mezcla-pet-x900-cc/p
""|KROL|Aceite De Canola Krol Virgen 500ml|425.0|||||Almacén > Aceites y Vinagres > Aceites Comunes|183598-512-512|aceite-krol-de-canola-x-500-ml/p
""|CASALTA|Aceto Balsámico Casalta Reducción 400ml|489.0|||||Almacén > Aceites y Vinagres > Acetos|567511-512-512|aceto-casalta-reduccion-x-400-ml/p
""|""|""|0|||||Almacén > Aceites y Vinagres > Acetos||""
""|CASALTA|Aceto Balsámico Casalta Clásico 400ml|389.0|||||Almacén > Aceites y Vinagres > Acetos|567514-512-512|aceto-clasico-casalta-x-400ml/p
