departamento|categoria|subcategoria|url
Limpieza|Limpieza de Pisos y Muebles|Limpiadores de Pisos|https://www.jumbo.com.ar/limpieza/limpieza-de-pisos-y-muebles/limpiadores-de-pisos
Limpieza|Limpieza de Pisos y Muebles|Lustramuebles|https://www.jumbo.com.ar/limpieza/limpieza-de-pisos-y-muebles/lustramuebles
Limpieza|Papeles|Pañuelos|https://www.jumbo.com.ar/limpieza/papeles/panuelos
Limpieza|Papeles|Papel Higiénico|https://www.jumbo.com.ar/limpieza/papeles/papel-higienico
Limpieza|Papeles|Rollos de Cocina|https://www.jumbo.com.ar/limpieza/papeles/rollos-de-cocina
Limpieza|Papeles|Servilletas|https://www.jumbo.com.ar/limpieza/papeles/servilletas
Mascotas|Perros|Secos|https://www.jumbo.com.ar/mascotas/perros/secos
Mascotas|Perros|Húmedos|https://www.jumbo.com.ar/mascotas/perros/humedos
Mascotas|Gatos|Secos|https://www.jumbo.com.ar/mascotas/gatos/secos
Mascotas|Gatos|Húmedos|https://www.jumbo.com.ar/mascotas/gatos/humedos
Mascotas|Otros Animales|-|https://www.jumbo.com.ar/mascotas/otros-animales
Mascotas|Accesorios para Mascotas|-|https://www.jumbo.com.ar/mascotas/accesorios-para-mascotas
Electro|TV y Video|Televisores|https://www.jumbo.com.ar/electro/tv-y-video/televisores
Electro|TV y Video|Reproductores|https://www.jumbo.com.ar/electro/tv-y-video/reproductores
Electro|TV y Video|Accesorios de TV y Video|https://www.jumbo.com.ar/electro/tv-y-video/accesorios-de-tv-y-video
Electro|Aire Acondicionado y Ventilación|Aire Acondicionado|https://www.jumbo.com.ar/electro/aire-acondicionado-y-ventilacion/aire-acondicionado
Electro|Aire Acondicionado y Ventilación|Ventilación|https://www.jumbo.com.ar/electro/aire-acondicionado-y-ventilacion/ventilacion
Electro|Audio|-|https://www.jumbo.com.ar/electro/audio
Electro|Calefacción, Calefones y Termotanques|Calefacción|https://www.jumbo.com.ar/electro/calefaccion-calefones-y-termotanques/calefaccion
Electro|Calefacción, Calefones y Termotanques|Calefones|https://www.jumbo.com.ar/electro/calefaccion-calefones-y-termotanques/calefones
Electro|Calefacción, Calefones y Termotanques|Termotanques|https://www.jumbo.com.ar/electro/calefaccion-calefones-y-termotanques/termotanques
Electro|Cocinas y Hornos|Anafes|https://www.jumbo.com.ar/electro/cocinas-y-hornos/anafes
Electro|Cocinas y Hornos|Cocinas|https://www.jumbo.com.ar/electro/cocinas-y-hornos/cocinas
Electro|Cocinas y Hornos|Hornos|https://www.jumbo.com.ar/electro/cocinas-y-hornos/hornos
Electro|Cocinas y Hornos|Microondas|https://www.jumbo.com.ar/electro/cocinas-y-hornos/microondas
Electro|Cocinas y Hornos|Purificadores|https://www.jumbo.com.ar/electro/cocinas-y-hornos/purificadores
Electro|Consolas y Videojuegos|-|https://www.jumbo.com.ar/electro/consolas-y-videojuegos
Electro|Heladeras, Freezers y Cavas|Heladeras con Freezer|https://www.jumbo.com.ar/electro/heladeras-freezers-y-cavas/heladeras-con-freezer
Electro|Heladeras, Freezers y Cavas|Heladeras sin Freezer|https://www.jumbo.com.ar/electro/heladeras-freezers-y-cavas/heladeras-sin-freezer
Electro|Heladeras, Freezers y Cavas|Frezeers|https://www.jumbo.com.ar/electro/heladeras-freezers-y-cavas/frezeers
Electro|Heladeras, Freezers y Cavas|Cavas|https://www.jumbo.com.ar/electro/heladeras-freezers-y-cavas/cavas
Electro|Informática|-|https://www.jumbo.com.ar/electro/informatica
Electro|Lavado|Lavarropas|https://www.jumbo.com.ar/electro/lavado/lavarropas
Electro|Lavado|Secarropas|https://www.jumbo.com.ar/electro/lavado/secarropas
Electro|Lavado|Lavavajillas|https://www.jumbo.com.ar/electro/lavado/lavavajillas
Electro|Pequeños Electros|Procesadoras|https://www.jumbo.com.ar/electro/pequenos-electros/procesadoras
Electro|Pequeños Electros|Licuadoras|https://www.jumbo.com.ar/electro/pequenos-electros/licuadoras
Electro|Pequeños Electros|Aspiradoras|https://www.jumbo.com.ar/electro/pequenos-electros/aspiradoras
Electro|Pequeños Electros|Batidoras|https://www.jumbo.com.ar/electro/pequenos-electros/batidoras
Electro|Pequeños Electros|Belleza Femenina|https://www.jumbo.com.ar/electro/pequenos-electros/belleza-femenina
Electro|Pequeños Electros|Pequeños Electros de Cocina|https://www.jumbo.com.ar/electro/pequenos-electros/pequenos-electros-de-cocina
Electro|Pequeños Electros|Cuidado Masculino|https://www.jumbo.com.ar/electro/pequenos-electros/cuidado-masculino
Electro|Pequeños Electros|Pequeños Electros de Hogar|https://www.jumbo.com.ar/electro/pequenos-electros/pequenos-electros-de-hogar
Electro|Pequeños Electros|Salud|https://www.jumbo.com.ar/electro/pequenos-electros/salud
Electro|Pequeños Electros|Cafeteras y Molinillos|https://www.jumbo.com.ar/electro/pequenos-electros/cafeteras-y-molinillos
Electro|Teléfonos|Celulares|https://www.jumbo.com.ar/electro/telefonos/celulares
Electro|Teléfonos|Teléfonos Fijos|https://www.jumbo.com.ar/electro/telefonos/telefonos-fijos
Electro|Teléfonos|Accesorios de Celulares|https://www.jumbo.com.ar/electro/telefonos/accesorios-de-celulares
Hogar y textil|Automotor|Accesorios para el Auto|https://www.jumbo.com.ar/hogar-y-textil/automotor/accesorios-para-el-auto
Hogar y textil|Automotor|Cubiertas|https://www.jumbo.com.ar/hogar-y-textil/automotor/cubiertas
Hogar y textil|Automotor|Limpieza|https://www.jumbo.com.ar/hogar-y-textil/automotor/limpieza
Hogar y textil|Automotor|Lubricantes y Refrigerantes|https://www.jumbo.com.ar/hogar-y-textil/automotor/lubricantes-y-refrigerantes
Hogar y textil|Automotor|Repuestos|https://www.jumbo.com.ar/hogar-y-textil/automotor/repuestos
Hogar y textil|Ferretería|Accesorios de Electricidad|https://www.jumbo.com.ar/hogar-y-textil/ferreteria/accesorios-de-electricidad
Hogar y textil|Ferretería|Adhesivos, Cintas y Sogas|https://www.jumbo.com.ar/hogar-y-textil/ferreteria/adhesivos-cintas-y-sogas
Hogar y textil|Ferretería|Escaleras|https://www.jumbo.com.ar/hogar-y-textil/ferreteria/escaleras
Hogar y textil|Ferretería|Herramientas|https://www.jumbo.com.ar/hogar-y-textil/ferreteria/herramientas
Hogar y textil|Ferretería|Herramientas Eléctricas|https://www.jumbo.com.ar/hogar-y-textil/ferreteria/herramientas-electricas
