COD.PROD;PRODUCTO;TOTAL;;0
7974;JUGO YAP NARANJA-DURAZNO SOBRE -   X35GR;1412;0,00100433940773977;0,736437091583014
91002;QUESO CREMOSO RAMOLAC                XKG;1405;0,000999090098370706;0,737436181681385
25272;MAYONESA HELLMANNS DOY PACK -5970-X500CC;1402;0,000997226522415835;0,738433408203801
90479;MANTECA NOAL PAN -015-            X100GR;1398;0,000994381368286261;0,739427789572087
31107;CREMA DENTAL COLG.HERBAL BCO-13366-X90GR;1396;0,000992958791221473;0,740420748363308
50001;ESPIRAL RAID - 438-                 X4UN;1392;0,000990113637091899;0,7414108620004
41215;CREMA DENTAL KOLYNOS S/BLANCA-12005-X70G;1377;0,000979444309105995;0,742390306309506
13597;LAVANDINA AYUDIN MAXIMA PUREZA-   X250ML;1372;0,000975887866444027;0,74336619417595
7847;JUGO YAP NARANJA-MANDARINA -       X35GR;1368;0,000973042712314452;0,744339236888265
4610;YERBA PERIQUITA                   X500GR;1359;0,00096664111552291;0,745305878003788
20180;JABON POLVO DRIVE REG.DISF.ATARD. X400GR;1355;0,000963795961393335;0,746269673965181
17597;PROTECTOR LADYSOFT CLASICO-9657-   X20UN;1352;0,000961662095796155;0,747231336060977
50015;TABLETA P/MOSQUITO RAID     -098-  X24UN;1327;0,000943879882486314;0,748175215943463
90028;YOGUR RAMOLAC ENT.SACH.FRUTILLA-X1000GR;1320;0,000938900862759559;0,749114116806223
27233;TRAPO PISO M.NARAN.GRIS COMP.NVA MED.XUN;1303;0,000926808957708868;0,750040925763932
90835;POSTRE DANONINO-094-MAXI FRUTILLA 2X70GR;1288;0,000916139629722964;0,750957065393655
91268;QUESO CREMOSO NOAL -001-             XKG;1287;0,000915328760796035;0,751872394154451
92029;MEDALLON DE CARNE LA BLANCA -     X112GR;1284;0,000913294475593389;0,752785688630044
21004;COMINO VILLA RICA  -6804-          X25GR;1272;0,000904759013204666;0,753690447643249
9189;FIDEO LA PROVIDENCIA TALLARIN-    X500GR;1271;0,000904047724672273;0,754594495367921
13418;SUAVIZANTE BORITA CAR.MAMA-121011-X900CC;1264;0,000899068704945517;0,755493564072867
25208;MAYONESA D FIESTA SACHET          X100CC;1260;0,000896223550815943;0,756389787623683
7900;JUGO YUPI NARANJA SOBRE RINDE 2L-  X20GR;1250;0,000889110665492007;0,757278898289175
31750;CREMA DENTAL ODOL 2 DOB.FLUOR-13004-X70G;1246;0,000886265511362432;0,758165163800537
19104;LA GOTITA POMO                      X2GR;1224;0,000870617163649773;0,759035780964187
77222;JUGO BAGGIO MULTIFRUTA T.B.-12597-  X1LT;1218;0,000866349432455412;0,759902130396642
8055;TURRON MISKY -4014-                X25GR;1199;0,000852834950339933;0,760754965346982
4108;YERBA NOBLEZA GAUCHA AZUL-55256-  X500GR;1196;0,000850701084742752;0,761605666431725
77795;FERNET BRANCA                     X450CC;1196;0,000850701084742752;0,762456367516468
90399;yogur yoguris-508-frut.fort.ent. x1000gr;1192;0,000847855930613178;0,763304223447081
29006;CALDO MAGGI GALLINA-12177182-      X12UN;1163;0,000827228563173763;0,764131452010255
17493;PAPEL HIG.CAMPANITA CLAS.30MT-008-  X6UN;1159;0,000824383409044189;0,764955835419299
18022;FOSFOROS TRES PATITOS ECOLOGICO-  X222UN;1156;0,000822249543447008;0,765778084962746
20925;JABON POLVO ACE TRAD.REG.PROMO.-  X400GR;1156;0,000822249543447008;0,766600334506193
13622;SUAVIZANTE BORITA BEBE DOY P-2152-X900CC;1156;0,000822249543447008;0,76742258404964
77028;JUGO YAP MIX FRUTAL SOBRE -        X35GR;1152;0,000819404389317434;0,768241988438957
41156;acond.sedal rec.estruc.-228880-    x10ml;1152;0,000819404389317434;0,769061392828275
29178;CALDO WILDE VERDURA      -8202-    X12UN;1146;0,000815136658123072;0,769876529486398
7317;VINO VIÐAS DE BALBO BORGOÐA     X1.250LT;1145;0,000814425369590678;0,770690954855988
3173;FECULA MAIZENA ESTUCHE -          X200GR;1142;0,000812291503993497;0,771503246359982
13764;DETERGENTE ROPA F.ALA-CAMELLO-314-X120CC;1139;0,000810157638396317;0,772313403998378
15029;EDULCORANTE SI-DIET LIQUIDO       X200CC;1134;0,000806601195734349;0,773120005194113
9762;FIDEO LUCCHETTI TALLARIN-30897-   X500GR;1131;0,000804467330137168;0,77392447252425
24005;HARINA BONANZA LEUDANTE -           X1KG;1128;0,000802333464539987;0,77472680598879
29216;CALDO WILDE VERDURA      -26206-    X2UN;1128;0,000802333464539987;0,77552913945333
3046;BURGOL LA ESPAÐOLA                X500GR;1127;0,000801622176007593;0,776330761629337
77126;JUGO YAP PERA SOBRE -              X35GR;1126;0,0008009108874752;0,777131672516812
6003;SARDINA ACEITE GOMEZ DA COSTA     X125GR;1120;0,000796643156280838;0,777928315673093
77904;JUGO INCA LIGHT NARAN/MANGO-100912-X10GR;1118;0,000795220579216051;0,778723536252309
4075;TE LA VIRGINIA BOLDO SAQ. -31012-  X25UN;1103;0,000784551251230147;0,77950808750354
25205;mayonesa super ri-k doy pack-9426-x250cc;1100;0,000782417385632966;0,780290504889173
20192;JABON TOC.PLUSBELLE CERAM.C/ACEITE-X140G;1093;0,000777438365906211;0,781067943255079
77917;JUGO INCA LIGHT DURAZNO-100905-    X10GR;1092;0,000776727077373817;0,781844670332453
28031;DULCE LECHE FRANZ -1010002-       X250GR;1088;0,000773881923244243;0,782618552255697
4085;YERBA LA TRANQUERA SAQUITO-577-    X50UN;1070;0,000761078729661158;0,783379630985358
4050;CAFE LA VIRGINIA MOLIDO SAQUITO-   X20UN;1065;0,00075752228699919;0,784137153272357
13065;DETERGENTE ALA PODER NATUR.-236015-X750C;1058;0,000752543267272435;0,78488969653963
77644;jugo ades fruta tropical t.b-135992-x1lt;1056;0,000751120690207647;0,785640817229837
90219;YOGUR RAMOLAC ENT.PO.VAINILLA     X125GR;1055;0,000750409401675254;0,786391226631513
