COD.PROD;PRODUCTO;TOTAL
13135;LIMP.LIQ.POETT LAVANDA    -2615-  X900CC;4523,97
18158;LAMPARA SOL DE NOCHE HALOG.70W       XUN;4517,79
29006;CALDO MAGGI GALLINA-12177182-      X12UN;4484,34
13622;SUAVIZANTE BORITA BEBE DOY P-2152-X900CC;4480,71
13065;DETERGENTE ALA PODER NATUR.-236015-X750C;4449,93
17139;PAPEL HIG.HIGIENOL MAX N/IMAG.100MT-X4UN;4438,88
4288;CAFE LA VIRGINIA EQUILIBRADO-5322-X125GR;4432,23
20482;JABON POLVO ALA MAT. C/VIV.CEL.MUL.X400G;4417,22
28033;DULCE LECHE GRANJA DE ORO FAMILIAR-X400G;4397,37
95021;TAPA P/PASCUALINA LA TUCUMANITA     X2UN;4385,00
17505;PAÐAL HUGGIES CLASSIC GDE-96595-    X9UN;4378,68
90375;YOGUR RAMOLAC C/CER.FRUTILLA ENT. X140GR;4375,76
5015;CACAO NESQUIK BOLSA -12179777-    X180GR;4317,02
27233;TRAPO PISO M.NARAN.GRIS COMP.NVA MED.XUN;4302,26
36026;QUESO RALLADO CHELITA CAJA         X40GR;4293,55
18222;LAMPARA OSRAM HALOGENA CLAS.A 53W   XUN;4273,80
24002;HARINA FAVORITA 000-12415-          X1KG;4263,15
50029;ESPIRAL RAID COUNTRY FRESH -441-   X12UN;4253,84
78027;JUGO INCA BC NARANJA-BANANA SOBRE- X30GR;4228,02
13287;LAVANDINA TRADIC.X-5 SACHET -9030-X250CC;4223,98
13331;DETERGENTE ALA GLICERINA -236011- X750CC;4220,60
41347;ACOND.PLUSBELLE CERAMIDAS C/AMINOB- X1LT;4215,27
20253;JABON POLVO ZORRO REGULAR BIOCRIST-X800G;4186,84
13007;DETERGENTE MAGISTRAL LIMON        X300ML;4167,98
20490;JABON POLVO ALA REGULAR MULTIACC. X800GR;4154,67
4601;YERBA PERIQUITA                     X1KG;4131,54
41087;SHAMPOO PLUSBELLE ALGAS MARINAS     X1LT;4119,45
17392;PAÐAL BABYSEC ULT.TRI/GRANDE       X30UN;4114,09
90126;ACTIMEL-574-MULTIFRUTA PACK      6X100GR;4070,81
29029;CALDO MAGGI VERDURA-12179082-      X12UN;4024,55
