categoria	rubro	id	producto	titulo	unidad	detalle	sku	imagen	regla_1	precio_1	regla_2	precio_2	regla_3	precio_3
Desayuno	Gall Dulces y Saladas	60	http://tatito.com.ar/producto/gall-criollitas-de-3-x100gr/	Galletas Criollitas De 	3 x 100 gr		5384	http://tatito.com.ar/wp-content/uploads/2020/01/GALL-CRIOLLITAS-DE-3-X100GR.jpg	1-2	70	3+	60.52		
AlmacÈn	Gall. Dulces y Saladas	137	http://tatito.com.ar/producto/galleta-all-rice-x-100-gr/	Galletas De Arroz All Rice Con Sal 	100 gr	Galletas de Arroz Integral.-	105341	http://tatito.com.ar/wp-content/uploads/2019/11/GALLETA-ALL-RICE-X-100-GR-600x600.jpg	1-2	63	3+	54.17		
AlmacÈn	Otros	155	http://tatito.com.ar/producto/galleta-all-rice-x-100-gr/	Galletas De Arroz All Rice Con Sal 	100 gr	Galletas de Arroz Integral.-	105341	http://tatito.com.ar/wp-content/uploads/2019/11/GALLETA-ALL-RICE-X-100-GR-600x600.jpg	1-2	63	3+	54.17		
AlmacÈn	Varios	147	http://tatito.com.ar/producto/galleta-all-rice-x-100-gr/	Galletas De Arroz All Rice Con Sal 	100 gr	Galletas de Arroz Integral.-	105341	http://tatito.com.ar/wp-content/uploads/2019/11/GALLETA-ALL-RICE-X-100-GR-600x600.jpg	1-2	63	3+	54.17		
Desayuno	Gall Dulces y Saladas	60	http://tatito.com.ar/producto/galleta-all-rice-x-100-gr/	Galletas De Arroz All Rice Con Sal 	100 gr	Galletas de Arroz Integral.-	105341	http://tatito.com.ar/wp-content/uploads/2019/11/GALLETA-ALL-RICE-X-100-GR-600x600.jpg	1-2	63	3+	54.17		
AlmacÈn	Gall. Dulces y Saladas	137	http://tatito.com.ar/producto/galletas-all-rice-dulces-x-100-grs/	Galletas De Arroz All Rice Dulces 	100 gr	Galletas de Arroz Integral.-	1053413	http://tatito.com.ar/wp-content/uploads/2020/05/galletas-all-rice-dulce.jpg	1-2	63	3+	54.17		
AlmacÈn	Otros	155	http://tatito.com.ar/producto/galletas-all-rice-dulces-x-100-grs/	Galletas De Arroz All Rice Dulces 	100 gr	Galletas de Arroz Integral.-	1053413	http://tatito.com.ar/wp-content/uploads/2020/05/galletas-all-rice-dulce.jpg	1-2	63	3+	54.17		
AlmacÈn	Varios	147	http://tatito.com.ar/producto/galletas-all-rice-dulces-x-100-grs/	Galletas De Arroz All Rice Dulces 	100 gr	Galletas de Arroz Integral.-	1053413	http://tatito.com.ar/wp-content/uploads/2020/05/galletas-all-rice-dulce.jpg	1-2	63	3+	54.17		
AlmacÈn	Gall. Dulces y Saladas	137	http://tatito.com.ar/producto/galletas-all-rice-arroz-integral-limon-x-100-grs/	Galletas De Arroz All Rice Limon 	100 gr	Galletas de Arroz Integral.-	1053414	http://tatito.com.ar/wp-content/uploads/2020/05/galletas-all-rice-limon.jpg	1-2	63	3+	54.17		
AlmacÈn	Otros	155	http://tatito.com.ar/producto/galletas-all-rice-arroz-integral-limon-x-100-grs/	Galletas De Arroz All Rice Limon 	100 gr	Galletas de Arroz Integral.-	1053414	http://tatito.com.ar/wp-content/uploads/2020/05/galletas-all-rice-limon.jpg	1-2	63	3+	54.17		
