nombre|precio|imagen|rubro|id
Harina Graciela  Real 000 1 Kg.|44.0|http://tatito.com.ar/wp-content/uploads/2020/01/HAR-GRA-REAL-000-1KG.jpg|- Harinas|0122
HARINA REINA ANA 000 X1 KG.|39.0|http://tatito.com.ar/wp-content/uploads/2019/11/HAR-REINA-ANA-000.jpg|- Harinas|0123
HARINA CELESTIAL 0000 X KG|60.0|http://tatito.com.ar/wp-content/uploads/2020/01/HAR-CELESTIAL-0000-X-KG.jpg|- Harinas|0124
Harina Celestial 000 X1 Kg.|45.0|http://tatito.com.ar/wp-content/uploads/2020/01/HAR-CELESTIAL-000-X1KG.jpg|- Harinas|0125
Avena La Espanola 500 Grs.|58.0|http://tatito.com.ar/wp-content/uploads/2020/01/default.jpg|- Legumbres|0126
Maiz Blanco Jose Lopez 500 Grs.|26.0|http://tatito.com.ar/wp-content/uploads/2020/01/default.jpg|- Legumbres|0127
POROTO LA ESPANOLA PALLARES 500GR|120.0|http://tatito.com.ar/wp-content/uploads/2020/01/default.jpg|- Legumbres|0128
BURGOL GRANOS DE ORO 500 GRS.|57.0|http://tatito.com.ar/wp-content/uploads/2020/01/default.jpg|- Legumbres|0129
BURGOL BEDOIAN 500GR|76.99|http://tatito.com.ar/wp-content/uploads/2020/01/BURGOL-BEDOIAN-500GR.jpg|- Legumbres|0130
MAIZ JOSE LOPEZ PISINGALLO 500GR|38.0|http://tatito.com.ar/wp-content/uploads/2019/11/maiz-pisingallo-jose-lopez.jpg|- Legumbres|0131
BURGOL JOSE LOPEZ 500GR|62.0|http://tatito.com.ar/wp-content/uploads/2019/11/burgol-jose-lopez.jpg|- Legumbres|0132
LENTEJA JOSE LOPEZ 500GR|69.0|http://tatito.com.ar/wp-content/uploads/2019/11/lentejas-jose-lopez.jpg|- Legumbres|0133
MAIZ BLANCO LA ESPANOLA 500GR|37.5|http://tatito.com.ar/wp-content/uploads/2020/01/default.jpg|- Legumbres|0134
BURGOL LA ESPANOLA 500GR|63.7|http://tatito.com.ar/wp-content/uploads/2020/04/burgol-la-española.jpg|- Legumbres|0135
POLENTA JOSE LOPEZ 500GR|17.0|http://tatito.com.ar/wp-content/uploads/2020/01/default.jpg|- Legumbres|0136
POLENTA LA ESPANOLA 500GR|19.5|http://tatito.com.ar/wp-content/uploads/2020/01/default.jpg|- Legumbres|0137
Yerba Cachamate con Hierbas 500 Grs. (Amarilla)|115.0|http://tatito.com.ar/wp-content/uploads/2020/05/yerba-cachamate-hierbas-amarilla-500.jpg|- Mate|0138
YERBA BROCHE ORO 250GR|68.06|http://tatito.com.ar/wp-content/uploads/2020/01/YERBA-BROCHE-ORO-250GR.jpg|- Mate|0139
