"";"X";"dep";"cat";"sub";"url"
"191";191;"Frutas y Verduras";"Legumbres, Granos y Semillas";"-";"https://www.jumbo.com.ar/frutas-y-verduras/legumbres-granos-y-semillas"
"192";192;"Hogar y textil";"Automotor";"Accesorios para el Auto";"https://www.jumbo.com.ar/hogar-y-textil/automotor/accesorios-para-el-auto"
"193";193;"Hogar y textil";"Automotor";"Cubiertas";"https://www.jumbo.com.ar/hogar-y-textil/automotor/cubiertas"
"194";194;"Hogar y textil";"Automotor";"Limpieza";"https://www.jumbo.com.ar/hogar-y-textil/automotor/limpieza"
"195";195;"Hogar y textil";"Automotor";"Lubricantes y Refrigerantes";"https://www.jumbo.com.ar/hogar-y-textil/automotor/lubricantes-y-refrigerantes"
"196";196;"Hogar y textil";"Automotor";"Repuestos";"https://www.jumbo.com.ar/hogar-y-textil/automotor/repuestos"
"197";197;"Hogar y textil";"Ferretería";"Accesorios de Electricidad";"https://www.jumbo.com.ar/hogar-y-textil/ferreteria/accesorios-de-electricidad"
"198";198;"Hogar y textil";"Ferretería";"Adhesivos, Cintas y Sogas";"https://www.jumbo.com.ar/hogar-y-textil/ferreteria/adhesivos-cintas-y-sogas"
"199";199;"Hogar y textil";"Ferretería";"Escaleras";"https://www.jumbo.com.ar/hogar-y-textil/ferreteria/escaleras"
"200";200;"Hogar y textil";"Ferretería";"Herramientas";"https://www.jumbo.com.ar/hogar-y-textil/ferreteria/herramientas"
"201";201;"Hogar y textil";"Ferretería";"Herramientas Eléctricas";"https://www.jumbo.com.ar/hogar-y-textil/ferreteria/herramientas-electricas"
"202";202;"Hogar y textil";"Ferretería";"Lámparas";"https://www.jumbo.com.ar/hogar-y-textil/ferreteria/lamparas"
"203";203;"Hogar y textil";"Ferretería";"Pilas";"https://www.jumbo.com.ar/hogar-y-textil/ferreteria/pilas"
"204";204;"Hogar y textil";"Ferretería";"Candados";"https://www.jumbo.com.ar/hogar-y-textil/ferreteria/candados"
"205";205;"Hogar y textil";"Cocina";"Accesorios de Cocina";"https://www.jumbo.com.ar/hogar-y-textil/cocina/accesorios-de-cocina"
"206";206;"Hogar y textil";"Cocina";"Accesorios Plásticos";"https://www.jumbo.com.ar/hogar-y-textil/cocina/accesorios-plasticos"
"207";207;"Hogar y textil";"Cocina";"Artículos para Horno y Fuego";"https://www.jumbo.com.ar/hogar-y-textil/cocina/articulos-para-horno-y-fuego"
"208";208;"Hogar y textil";"Cocina";"Bolsa para Horno y Freezer";"https://www.jumbo.com.ar/hogar-y-textil/cocina/bolsa-para-horno-y-freezer"
"209";209;"Hogar y textil";"Cocina";"Infusiones";"https://www.jumbo.com.ar/hogar-y-textil/cocina/infusiones"
"210";210;"Hogar y textil";"Cocina";"Manoplas y Delantales";"https://www.jumbo.com.ar/hogar-y-textil/cocina/manoplas-y-delantales"
"211";211;"Hogar y textil";"Cocina";"Repasadores";"https://www.jumbo.com.ar/hogar-y-textil/cocina/repasadores"
"212";212;"Hogar y textil";"Colchones y Almohadas";"Almohadas";"https://www.jumbo.com.ar/hogar-y-textil/colchones-y-almohadas/almohadas"
"213";213;"Hogar y textil";"Colchones y Almohadas";"Colchones";"https://www.jumbo.com.ar/hogar-y-textil/colchones-y-almohadas/colchones"
"214";214;"Hogar y textil";"Cotillón";"Cotillón";"https://www.jumbo.com.ar/hogar-y-textil/cotillon/cotillon"
"215";215;"Hogar y textil";"Decoración";"Adornos";"https://www.jumbo.com.ar/hogar-y-textil/decoracion/adornos"
"216";216;"Hogar y textil";"Decoración";"Portaretratos";"https://www.jumbo.com.ar/hogar-y-textil/decoracion/portaretratos"
"217";217;"Hogar y textil";"Decoración";"Flores y Floreros";"https://www.jumbo.com.ar/hogar-y-textil/decoracion/flores-y-floreros"
"218";218;"Hogar y textil";"Decoración";"Cestería";"https://www.jumbo.com.ar/hogar-y-textil/decoracion/cesteria"
"219";219;"Hogar y textil";"Decoración";"Decoración de Pared";"https://www.jumbo.com.ar/hogar-y-textil/decoracion/decoracion-de-pared"
"220";220;"Hogar y textil";"Decoración";"Alfombras";"https://www.jumbo.com.ar/hogar-y-textil/decoracion/alfombras"
"221";221;"Hogar y textil";"Decoración";"Almohadones";"https://www.jumbo.com.ar/hogar-y-textil/decoracion/almohadones"
"222";222;"Hogar y textil";"Decoración";"Aromatizadores y Velas";"https://www.jumbo.com.ar/hogar-y-textil/decoracion/aromatizadores-y-velas"
