nombre|precio|url_producto|url_imagen|rubro|id
Aceite Natura girasol x 1.5 Lts.|182.0|http://tatito.com.ar/producto/aceite-natura-girasol-1-5lt/|/2020/01/ACEITE-NATURA-GIRASOL-1500cc.jpg|Almacén > Aceites|00523
ACEITE VICENTIN GIRASOL 1.5LT|165.01|http://tatito.com.ar/producto/aceite-vicentin-girasol-1-5lt-s-iva/|/2020/01/ACEITE-VICENTIN-GIRASOL-1500cc.jpg|Almacén > Aceites|00524
ACEITE VICENTIN GIRASOL 900CC|100.0|http://tatito.com.ar/producto/aceite-vicentin-girasol-900cc-s-iva/|/2020/01/ACEITE-VICENTIN-GIRASOL-900CC.jpg|Almacén > Aceites|00525
STEVIA  SOBRES X 100 HILERET|142.0|http://tatito.com.ar/producto/stevia-sob-x-100-hilert/|/2020/01/STEVIA-SOB-X-100-HILERT.jpg|Desayuno > Edulcorantes|00570
AZUCAR HILERET LIGHT X 250G PAQ|45.0|http://tatito.com.ar/producto/azucar-hileret-lig-x-250g-paq/|/2020/01/AZUCAR-HILERET-LIGHT-X-250G-PAQ.jpg|Desayuno > Edulcorantes|00571
EDULCORANTE SI DIET 200CC|73.0|http://tatito.com.ar/producto/edulc-si-diet-200cc/|/2020/01/EDULC-SI-DIET-200CC.jpg|Desayuno > Edulcorantes|00572
EDULCORANTE SI DIET 500ML|132.0|http://tatito.com.ar/producto/edulc-si-diet-500ml/|/2019/11/EDULCORANTE-SI-DIET-500.jpg|Desayuno > Edulcorantes|00573
EDULCORANTE BARNY 250CC|73.0|http://tatito.com.ar/producto/edulc-barny-250cc/|/2019/11/EDULCORANTE-BARNY-250.jpg|Desayuno > Edulcorantes|00574
ROLLO DE COCINA SOL MAYOR X 3UN|65.0|http://tatito.com.ar/producto/roll-coc-sol-mayor-x-3un/|/2020/01/ROLL-COC-SOL-MAYOR-X-3UN.jpg|Limpieza > Rollos de Cocina|00701
Leche en Polvo Descremada Lheritier 350 gr.|195.0|http://tatito.com.ar/producto/leche-en-polvo-descremada-lheritier-350-gr/|/2020/05/leche-en-polvo-lheritier-800.jpg|Lacteos > Leche en Polvo|00484
Leche Nido Fort Tapa Amarilla 800Gr|399.0|http://tatito.com.ar/producto/leche-nido-fort-t-ama-800gr/|/2020/01/LECHE-NIDO-CON-PROT-T-AMARILLA-800GR.jpg|Lacteos > Leche en Polvo|00681
Esponja de Fibra Flexol|18.5|http://tatito.com.ar/producto/esponja-de-fibra-flexol/|/2020/06/Esponja-Fibra-flexol.jpg|Limpieza > Virulana|00721
Salame Goggi Feteado x 100 grs.|38.0|http://tatito.com.ar/producto/salame-goggi-cal-80/|/2019/11/SALAME-GOGGI-CAL-80.jpg|Fiambreria > Salame|00635
Salame Bierzo Feteado 100 grs.|53.0|http://tatito.com.ar/producto/salame-bierzo/|/2020/01/SALAME-BIERZO.jpg|Fiambreria > Salame|00636
Salame Fela Feteado x 100 grs.|48.0|http://tatito.com.ar/producto/salame-fela/|/2020/01/SALAME-FELA.jpg|Fiambreria > Salame|00637
Salame Don Otto Feteado x 100 grs.|35.0|http://tatito.com.ar/producto/salame-don-otto/|/2020/01/SALAME-DON-OTTO.jpg|Fiambreria > Salame|00638
Salame 66 x 100 grs.|45.0|http://tatito.com.ar/producto/salame-66/|/2020/01/SALAME-66.jpg|Fiambreria > Salame|00639
Dulce de Leche Clasico Manfrey x 250 grs.|66.0|http://tatito.com.ar/producto/dulce-de-leche-clasico-manfrey-x-250-grs/|/2020/05/Dulce-de-leche-manfrey-250.jpg|Lacteos > Dulce de Leche|00483
Dulce de Leche Cerros Tucumanos 1 Kg.|175.0|http://tatito.com.ar/producto/dulce-leche-cerros-tuc-1-kg/|/2020/01/DULCE-LECHE-CERROS-TUC-1-KG.jpg|Lacteos > Dulce de Leche|00694
Alcohol en Gel San Iginio x 250 cc|155.0|http://tatito.com.ar/producto/alcohol-en-gel-san-iginio-x-250-cc/|""|Limpieza > Alcohol|00722
HAMBURGUESAS IACONO 2 X 69GR|33.5|http://tatito.com.ar/producto/hamb-iacono-2-x-69gr/|/2020/01/HAMB-IACONO-2-X-69GR.jpg|Frescos y Congelados > Hamburguesas|00654
Hamburguesa Swift XL X 250G|144.0|http://tatito.com.ar/producto/hamb-swift-xl-x250g/|/2020/01/HAMB-SWIFT-XL-X250G.jpg|Frescos y Congelados > Hamburguesas|00655
